MaritalStatus,Gender,YearlyIncome,TotalChildren,FirstPurchaseYear,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Age,Country,Buyer
M,M,60000.0,2,2011,0,Graduate Degree,Management,1,1,0-1 Miles,74,AU,1
M,M,40000.0,2,2013,0,Bachelors,Management,1,2,5-10 Miles,71,AU,0
M,M,40000.0,2,2013,0,Bachelors,Management,1,2,0-1 Miles,71,AU,0
S,M,40000.0,2,2013,0,Bachelors,Management,1,2,5-10 Miles,71,AU,0
S,F,60000.0,2,2011,0,Graduate Degree,Management,0,1,0-1 Miles,70,AU,1
S,M,40000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,37,US,1
M,F,40000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,36,US,0
S,F,40000.0,0,2013,0,Partial College,Skilled Manual,1,1,5-10 Miles,36,US,1
S,M,40000.0,0,2013,0,Partial College,Skilled Manual,0,1,1-2 Miles,37,US,1
S,F,40000.0,0,2013,0,Partial College,Skilled Manual,0,1,1-2 Miles,37,US,1
M,F,40000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,37,US,0
S,M,40000.0,0,2013,0,High School,Skilled Manual,1,2,5-10 Miles,37,US,1
S,F,40000.0,0,2013,0,High School,Skilled Manual,0,2,1-2 Miles,37,US,0
S,M,40000.0,0,2013,0,Partial College,Skilled Manual,0,1,5-10 Miles,39,US,1
S,F,40000.0,0,2013,0,Partial College,Skilled Manual,0,1,1-2 Miles,38,US,0
S,M,40000.0,0,2013,0,Partial College,Skilled Manual,1,1,5-10 Miles,38,US,1
M,M,40000.0,0,2013,0,Partial College,Skilled Manual,1,1,5-10 Miles,38,US,0
S,M,40000.0,0,2013,0,Partial College,Skilled Manual,0,1,1-2 Miles,38,US,0
M,F,60000.0,0,2013,0,Partial College,Skilled Manual,0,1,1-2 Miles,39,US,0
S,F,70000.0,0,2013,0,Partial College,Skilled Manual,0,2,0-1 Miles,40,US,0
S,F,80000.0,0,2013,0,Bachelors,Management,0,1,0-1 Miles,40,US,1
S,M,80000.0,0,2013,0,Bachelors,Management,0,1,0-1 Miles,44,US,1
M,M,90000.0,4,2013,4,Bachelors,Management,1,1,0-1 Miles,44,US,0
M,F,90000.0,4,2013,4,Bachelors,Management,1,1,0-1 Miles,45,US,0
S,M,100000.0,1,2011,0,Bachelors,Management,1,2,1-2 Miles,39,US,1
M,F,100000.0,1,2013,0,Bachelors,Management,1,2,1-2 Miles,45,US,0
S,F,110000.0,0,2013,0,Graduate Degree,Management,0,4,0-1 Miles,45,US,0
M,M,110000.0,0,2013,1,Graduate Degree,Management,1,0,2-5 Miles,45,US,0
S,M,70000.0,0,2011,0,Partial College,Skilled Manual,1,2,5-10 Miles,49,US,1
M,M,90000.0,4,2013,4,Bachelors,Management,1,1,1-2 Miles,39,CA,0
M,M,110000.0,2,2013,4,Graduate Degree,Management,1,2,5-10 Miles,70,US,0
M,M,100000.0,2,2013,3,Graduate Degree,Management,1,3,1-2 Miles,64,US,0
M,F,120000.0,2,2013,4,Graduate Degree,Management,1,3,5-10 Miles,58,US,0
M,F,160000.0,1,2013,3,Bachelors,Management,1,4,0-1 Miles,70,US,0
M,M,170000.0,2,2013,3,Graduate Degree,Management,1,2,0-1 Miles,58,US,0
S,F,70000.0,4,2013,0,Bachelors,Management,1,2,10+ Miles,68,US,0
S,F,70000.0,4,2013,0,Bachelors,Management,1,2,10+ Miles,68,US,0
S,F,70000.0,4,2013,0,Bachelors,Management,1,2,10+ Miles,62,US,0
S,F,70000.0,4,2013,0,Bachelors,Management,1,2,10+ Miles,68,CA,0
S,F,70000.0,4,2013,0,Bachelors,Management,1,2,10+ Miles,68,US,0
M,F,60000.0,4,2013,0,Graduate Degree,Management,1,2,10+ Miles,69,US,0
M,F,60000.0,4,2013,0,Graduate Degree,Management,0,2,1-2 Miles,68,US,0
S,M,60000.0,4,2011,0,Graduate Degree,Management,1,2,10+ Miles,68,US,1
M,M,70000.0,5,2013,0,Bachelors,Management,1,2,10+ Miles,68,US,0
S,F,70000.0,5,2011,0,Bachelors,Management,1,3,10+ Miles,67,US,1
M,M,60000.0,4,2013,0,Bachelors,Management,1,2,2-5 Miles,67,US,0
M,M,60000.0,4,2013,0,Bachelors,Management,1,2,2-5 Miles,68,US,0
M,F,60000.0,4,2013,0,Bachelors,Management,1,2,2-5 Miles,67,US,0
M,F,60000.0,5,2013,0,Bachelors,Management,1,3,10+ Miles,67,US,0
M,M,60000.0,5,2013,0,Bachelors,Management,1,3,10+ Miles,66,US,0
M,F,70000.0,3,2013,1,Bachelors,Management,0,1,1-2 Miles,66,US,0
S,F,70000.0,4,2013,1,Bachelors,Management,1,1,10+ Miles,66,US,0
M,F,70000.0,4,2013,1,Bachelors,Management,1,1,10+ Miles,60,US,0
M,M,70000.0,4,2013,1,Bachelors,Management,1,1,1-2 Miles,65,CA,0
M,F,70000.0,4,2013,1,Bachelors,Management,1,1,10+ Miles,65,US,0
M,F,80000.0,5,2013,0,Bachelors,Management,0,2,1-2 Miles,59,US,0
M,M,40000.0,2,2013,1,High School,Professional,1,2,10+ Miles,59,CA,0
M,F,40000.0,2,2013,1,High School,Professional,1,2,2-5 Miles,64,US,0
M,F,40000.0,2,2013,1,High School,Professional,1,2,10+ Miles,64,US,0
M,M,60000.0,2,2013,1,Partial College,Professional,1,1,10+ Miles,64,US,0
S,F,60000.0,2,2013,1,Partial College,Professional,1,1,10+ Miles,64,US,0
M,F,60000.0,2,2013,1,Bachelors,Management,1,0,10+ Miles,65,US,0
M,F,60000.0,2,2013,1,Bachelors,Management,1,0,10+ Miles,65,US,0
M,M,70000.0,4,2013,1,Partial College,Professional,1,2,10+ Miles,64,US,0
M,F,40000.0,2,2013,1,High School,Professional,1,2,2-5 Miles,57,CA,0
M,F,40000.0,2,2013,1,High School,Professional,1,2,2-5 Miles,63,CA,0
S,F,60000.0,2,2013,1,Partial College,Professional,1,2,10+ Miles,63,US,0
S,M,60000.0,2,2013,1,Partial College,Professional,1,2,10+ Miles,63,US,0
M,F,40000.0,2,2013,1,Partial High School,Skilled Manual,1,2,10+ Miles,57,CA,0
S,F,60000.0,2,2011,1,Partial College,Professional,1,2,10+ Miles,62,US,1
S,F,60000.0,2,2011,1,Partial College,Professional,1,2,10+ Miles,63,US,1
S,F,60000.0,2,2013,1,Partial College,Professional,0,2,2-5 Miles,56,US,0
M,M,60000.0,2,2013,1,High School,Professional,1,2,10+ Miles,62,US,0
M,F,60000.0,2,2013,1,Partial College,Professional,1,1,10+ Miles,57,US,0
M,M,70000.0,4,2013,2,Partial College,Professional,1,1,1-2 Miles,62,US,0
M,F,80000.0,3,2013,1,Bachelors,Management,1,1,1-2 Miles,62,US,0
S,F,70000.0,2,2013,1,High School,Professional,1,2,2-5 Miles,61,CA,0
S,F,70000.0,2,2011,1,High School,Professional,1,2,10+ Miles,61,US,1
M,F,60000.0,2,2013,1,Partial College,Professional,1,1,10+ Miles,56,US,0
M,F,60000.0,2,2013,1,Partial College,Professional,1,1,2-5 Miles,55,US,0
S,M,60000.0,2,2011,1,Partial College,Professional,1,2,10+ Miles,56,US,1
M,F,60000.0,2,2013,1,Partial College,Professional,1,2,10+ Miles,61,US,0
S,M,70000.0,4,2013,2,Partial College,Professional,1,1,10+ Miles,61,US,0
M,F,70000.0,4,2013,2,Partial College,Professional,0,2,2-5 Miles,61,US,0
M,M,60000.0,2,2013,1,High School,Professional,1,2,10+ Miles,54,US,0
M,F,60000.0,3,2013,1,High School,Professional,0,2,2-5 Miles,60,US,0
M,M,70000.0,4,2013,2,Partial College,Professional,1,2,10+ Miles,54,US,0
S,F,70000.0,4,2013,2,Partial College,Professional,1,2,10+ Miles,60,US,0
M,M,70000.0,4,2013,2,Partial College,Professional,1,2,10+ Miles,61,US,0
S,M,70000.0,5,2013,2,Partial College,Professional,1,2,10+ Miles,60,US,0
S,M,130000.0,2,2011,3,Bachelors,Management,0,4,0-1 Miles,54,DE,1
S,F,130000.0,2,2011,3,Bachelors,Management,0,4,0-1 Miles,54,GB,1
M,F,130000.0,2,2011,4,Partial College,Professional,0,2,5-10 Miles,48,GB,1
M,F,160000.0,2,2011,3,Partial College,Professional,1,4,5-10 Miles,54,GB,1
S,F,100000.0,2,2012,3,Partial College,Professional,1,4,5-10 Miles,44,FR,1
M,M,110000.0,2,2012,4,Partial College,Professional,1,3,5-10 Miles,55,FR,1
M,F,150000.0,2,2011,3,Partial College,Professional,1,3,0-1 Miles,55,GB,1
S,F,170000.0,2,2011,3,Bachelors,Management,0,3,0-1 Miles,49,GB,1
M,M,120000.0,3,2011,4,High School,Professional,0,4,5-10 Miles,56,DE,1
M,F,120000.0,3,2011,4,High School,Professional,0,4,5-10 Miles,56,DE,1
S,F,130000.0,3,2011,4,Partial College,Professional,0,3,0-1 Miles,56,GB,1
M,M,110000.0,3,2013,4,Partial College,Professional,1,4,10+ Miles,52,FR,0
M,F,130000.0,3,2011,4,Partial College,Professional,1,3,0-1 Miles,52,DE,1
M,F,170000.0,3,2011,4,High School,Professional,1,2,5-10 Miles,52,GB,1
S,M,30000.0,4,2013,0,High School,Professional,0,2,5-10 Miles,80,CA,1
S,M,90000.0,3,2011,0,Graduate Degree,Management,1,1,2-5 Miles,80,US,1
M,M,60000.0,2,2013,0,Graduate Degree,Management,1,2,1-2 Miles,68,CA,0
M,M,70000.0,4,2013,0,Graduate Degree,Management,1,2,5-10 Miles,79,US,0
M,M,70000.0,4,2013,0,Graduate Degree,Management,1,2,5-10 Miles,79,US,0
M,F,70000.0,4,2013,0,Graduate Degree,Management,1,2,5-10 Miles,79,US,0
S,F,120000.0,1,2011,2,Graduate Degree,Management,1,4,2-5 Miles,80,US,1
M,M,120000.0,1,2013,2,Graduate Degree,Management,1,4,2-5 Miles,79,US,0
M,F,100000.0,4,2011,1,Partial College,Professional,1,4,2-5 Miles,47,US,1
M,F,110000.0,2,2013,2,Bachelors,Management,1,3,2-5 Miles,42,US,0
M,F,130000.0,1,2011,2,Graduate Degree,Management,1,1,0-1 Miles,47,US,1
M,F,80000.0,4,2013,3,Bachelors,Management,1,0,0-1 Miles,43,CA,0
M,F,90000.0,5,2011,5,Partial College,Professional,1,3,2-5 Miles,48,US,1
S,M,90000.0,5,2013,5,Partial College,Professional,0,3,0-1 Miles,48,US,1
M,F,90000.0,5,2013,5,Partial College,Professional,1,3,0-1 Miles,48,US,1
S,F,90000.0,0,2011,0,Partial College,Professional,0,1,5-10 Miles,48,US,1
S,M,120000.0,4,2011,2,Partial College,Professional,1,4,2-5 Miles,42,US,1
M,F,130000.0,2,2013,2,Graduate Degree,Management,1,2,1-2 Miles,48,US,0
M,M,130000.0,2,2013,2,Graduate Degree,Management,1,2,0-1 Miles,42,US,0
M,M,130000.0,2,2011,2,Graduate Degree,Management,1,3,0-1 Miles,43,US,1
S,F,150000.0,2,2011,0,Bachelors,Management,0,4,1-2 Miles,48,US,1
S,F,70000.0,4,2011,3,Partial College,Professional,1,0,5-10 Miles,56,US,1
M,M,90000.0,2,2013,1,Partial College,Professional,1,0,10+ Miles,56,US,0
M,M,50000.0,2,2011,0,Graduate Degree,Management,1,2,5-10 Miles,78,US,1
M,F,80000.0,4,2011,0,Graduate Degree,Management,1,2,0-1 Miles,79,US,1
M,F,80000.0,4,2013,3,Partial College,Professional,1,2,2-5 Miles,43,CA,0
M,M,80000.0,4,2013,3,Partial College,Professional,1,2,0-1 Miles,49,CA,0
S,M,90000.0,0,2011,0,Partial College,Professional,0,1,10+ Miles,49,US,1
M,F,90000.0,0,2013,0,Partial College,Professional,1,1,10+ Miles,43,US,0
M,M,90000.0,0,2013,0,Partial College,Professional,1,1,10+ Miles,49,US,0
S,F,110000.0,4,2011,2,Bachelors,Management,1,4,5-10 Miles,43,US,1
M,M,90000.0,5,2011,4,Partial College,Professional,1,4,1-2 Miles,51,US,1
M,M,110000.0,1,2013,3,Bachelors,Management,1,2,1-2 Miles,50,US,0
M,F,110000.0,1,2013,3,Bachelors,Management,1,2,1-2 Miles,50,US,0
M,M,120000.0,1,2013,3,Partial College,Professional,0,4,2-5 Miles,45,US,0
M,M,170000.0,0,2011,0,Graduate Degree,Management,1,4,2-5 Miles,50,US,1
M,M,70000.0,5,2013,4,Partial College,Professional,0,3,5-10 Miles,52,CA,0
M,F,110000.0,1,2013,3,Bachelors,Management,1,3,2-5 Miles,40,US,0
M,F,130000.0,1,2011,3,Bachelors,Management,1,1,0-1 Miles,46,US,1
M,F,130000.0,1,2011,3,Bachelors,Management,1,3,2-5 Miles,46,US,1
M,F,130000.0,1,2011,3,Bachelors,Management,1,3,2-5 Miles,46,US,1
S,M,150000.0,1,2011,2,Partial College,Professional,0,3,0-1 Miles,51,US,1
S,M,60000.0,2,2013,0,High School,Professional,0,2,1-2 Miles,57,US,0
M,M,60000.0,2,2013,0,High School,Professional,0,2,1-2 Miles,57,US,0
S,F,80000.0,2,2011,0,Partial High School,Skilled Manual,1,2,5-10 Miles,58,US,1
S,F,50000.0,2,2011,0,Graduate Degree,Management,1,2,5-10 Miles,77,US,1
S,M,70000.0,4,2011,0,Graduate Degree,Management,1,2,5-10 Miles,78,US,1
M,M,70000.0,4,2011,0,Graduate Degree,Management,1,2,1-2 Miles,77,US,1
M,M,70000.0,4,2011,0,Graduate Degree,Management,1,2,1-2 Miles,76,US,1
M,M,80000.0,5,2013,4,Partial College,Professional,0,3,1-2 Miles,52,CA,0
M,M,80000.0,5,2013,4,Partial College,Professional,1,4,5-10 Miles,52,US,0
S,M,90000.0,4,2011,3,High School,Professional,0,3,1-2 Miles,46,US,1
S,F,90000.0,4,2011,3,High School,Professional,0,3,1-2 Miles,52,US,1
M,F,100000.0,0,2013,3,Partial College,Professional,1,0,5-10 Miles,47,US,0
M,M,110000.0,3,2013,3,Partial College,Professional,0,4,2-5 Miles,52,US,0
M,M,110000.0,3,2013,3,Partial College,Professional,0,4,2-5 Miles,52,US,0
M,M,80000.0,2,2011,0,Partial High School,Skilled Manual,1,2,5-10 Miles,52,US,1
M,M,60000.0,2,2013,0,High School,Professional,0,2,1-2 Miles,58,US,0
S,F,60000.0,2,2013,0,High School,Professional,1,2,5-10 Miles,58,US,0
